Time,Hydrophone,Value,SignalPower(dBu)
29 Jul 2020 05:34:03,1,0.330000,89 
29 Jul 2020 05:34:13,1,0.775000,89 
29 Jul 2020 05:34:28,0,0.000000,90 
29 Jul 2020 05:38:15,0,7.075000,117 
29 Jul 2020 05:38:15,1,7.045000,114 
29 Jul 2020 05:44:58,0,2.770000,123 
29 Jul 2020 05:44:58,1,2.775000,117 
29 Jul 2020 05:45:03,1,3.000000,123 
29 Jul 2020 05:45:03,0,2.995000,123 
29 Jul 2020 05:45:08,0,2.930000,124 
29 Jul 2020 05:45:08,1,2.925000,123 
29 Jul 2020 05:45:49,0,1.545000,123 
29 Jul 2020 05:45:49,1,1.565000,123 
29 Jul 2020 05:45:59,1,3.000000,119 
29 Jul 2020 05:45:59,0,3.005000,122 
29 Jul 2020 05:46:05,1,1.280000,109 
29 Jul 2020 05:46:05,0,1.235000,110 
29 Jul 2020 05:46:10,1,1.760000,101 
29 Jul 2020 05:46:10,0,1.510000,103 
29 Jul 2020 05:46:15,1,1.140000,110 
29 Jul 2020 05:46:15,0,1.410000,105 
