variable,year,mean,median,lowerCI,upperCI
R1,1997,37.3,37.11,30.63,45.06
R1,1998,30.74,30.54,24.3,38.3
R1,1999,27.88,27.76,22.81,33.58
R1,2000,42.34,42.2,35.6,49.84
R1,2001,42.96,42.78,35.49,51.49
R1,2002,64.75,64.53,55.36,75.38
R1,2003,61.79,61.63,53.52,70.88
R1,2004,82.77,82.64,73.99,92.36
R1,2005,60.34,60.28,54.2,66.92
R1,2006,54.26,54.17,48.36,60.69
R1,2007,39.11,39.04,34.71,43.95
R1,2008,31.51,31.44,27.56,35.88
R1,2009,21.19,21.15,18.39,24.26
R1,2010,20.98,20.94,18.39,23.82
R1,2011,30.42,30.36,26.6,34.58
R1,2012,47.05,46.87,39.74,55.5
R1,2013,39.88,39.68,32.77,48.09
R1,2014,43.05,42.92,37.04,49.85
R1,2015,37.79,37.68,31.9,44.31
R1,2016,70.81,70.66,62.37,80.19
R1,2017,50.35,50.23,43.92,57.54
R1,2018,57.48,57.33,50.42,65.39
R1,2019,56.95,56.78,49.25,65.63
R1,2020,59.68,59.54,51.47,68.76
R1,2021,81.25,79.81,54.18,117.1
R1,2022,66.12,64.08,39.57,105.1
R1,2023,67.44,64.82,38.4,111.2
R2,1996,74.42,73.22,46.7,109
R2,1997,61.53,61.26,50.5,74.08
R2,1998,63.6,63.33,51.92,76.78
R2,1999,101.3,100.8,83.2,122.9
R2,2000,94.42,94.12,79.12,111.5
R2,2001,139.2,138.8,118.8,162.2
R2,2002,189.4,188.7,162.4,220
R2,2003,184.1,183.7,160.3,210.6
R2,2004,145.1,144.8,127.4,164.7
R2,2005,116.7,116.4,101.2,133.8
R2,2006,69.62,69.45,59.54,80.64
R2,2007,55.9,55.74,47.89,64.79
R2,2008,44.82,44.64,37.19,53.44
R2,2009,44.48,44.31,36.96,52.95
R2,2010,69.41,69.16,59.07,81.15
R2,2011,90.29,90.15,79.94,101.5
R2,2012,83.21,82.96,70.99,96.8
R2,2013,82.05,81.77,69.2,96.55
R2,2014,101.6,101.1,85.31,120.7
R2,2015,126.4,126,108.1,147
R2,2016,102.9,102.7,91.22,115.5
R2,2017,106.5,106.3,93.83,120.1
R2,2018,110.3,110.1,96.22,125.9
R2,2019,148.2,147.6,126.7,172.8
R2,2020,192.6,191.9,164.4,224.8
R2,2021,151.4,148.1,97.14,225.7
R2,2022,155.1,150.3,92.13,246.5
R3,1995,75.71,73.41,39.34,125.3
R3,1996,71.82,70.44,47.01,104.7
R3,1997,90.38,89.95,74.93,108.2
R3,1998,100.4,100,82.95,120
R3,1999,137.2,136.6,115.3,162.6
R3,2000,164.1,163.7,141.5,189.2
R3,2001,227,226.3,198.3,259.1
R3,2002,244.7,244.1,211.2,282.2
R3,2003,190.9,190.3,166.2,218.7
R3,2004,124.2,123.9,108.9,141.1
R3,2005,79.66,79.48,69.56,90.76
R3,2006,51.63,51.55,45.79,57.93
R3,2007,48.11,48.02,42.13,54.66
R3,2008,53.61,53.49,46.78,61.12
R3,2009,71.1,70.93,61.96,81.12
R3,2010,104.9,104.7,93.1,117.9
R3,2011,103.5,103.4,91.68,116.4
R3,2012,87.88,87.6,74.02,103.5
R3,2013,91.28,90.99,76.49,107.8
R3,2014,101.4,101.1,85.62,119.1
R3,2015,117.3,116.9,100.3,136.9
R3,2016,119.6,119.3,104.9,136.2
R3,2017,117.8,117.5,103.5,133.7
R3,2018,118.9,118.7,106.2,132.6
R3,2019,177.7,177.3,156.1,201.7
R3,2020,173,172.7,152.1,195.6
R3,2021,178.5,176.2,127.3,242.5
R4,1994,76.83,74.42,38.95,128.7
R4,1995,77.69,76.3,50.17,113.4
R4,1996,93.72,92.92,70.21,121.9
R4,1997,110,109.5,92.65,129.8
R4,1998,138,137.5,116.6,162.3
R4,1999,182,181.1,153.9,215.2
R4,2000,231.4,230.3,195.6,273.4
R4,2001,267.2,265.7,223.6,319.5
R4,2002,176.8,176.3,150.4,206.2
R4,2003,129.1,128.6,109,152.1
R4,2004,85.16,84.89,73.21,98.55
R4,2005,60.4,60.22,52,69.76
R4,2006,53.65,53.5,45.73,62.41
R4,2007,57.48,57.35,49.6,66.06
R4,2008,78.02,77.81,68.27,88.94
R4,2009,93.31,93.18,82.69,104.6
R4,2010,131.5,131.3,118.5,145.6
R4,2011,92.86,92.69,82.56,104.1
R4,2012,95.6,95.34,82.39,110.2
R4,2013,103.5,103.2,89.32,119.1
R4,2014,110.5,110.2,93.74,128.9
R4,2015,110.9,110.8,98.03,124.8
R4,2016,114.6,114.4,102.4,127.7
R4,2017,116.1,115.9,103.1,129.9
R4,2018,142.6,142.5,128.4,157.8
R4,2019,185.3,185,165.9,206.4
R4,2020,180.4,180.1,160,202.7
